genus,family,order,group,county,county_lat,county_lon,order_copo,family_copo,genus_copo,taxon_name,collector_number,latitude_decimal,longitude_decimal,collection_date_verbatim
,,,,"",,,,,,,,48.208164,16.228558,
Carpobrotus,Aizoaceae,Caryophyllales,Angiosperms,"",,,Caryophyllales,Aizoaceae,Carpobrotus,Carpobrotus edulis,MC9394,49.959,-5.206,2022-06-15
Disphyma,Aizoaceae,Caryophyllales,Angiosperms,"",,,Caryophyllales,Aizoaceae,Disphyma,Disphyma crassifolium,MC9395,49.959,-5.206,2022-06-15
Silene,Caryophyllaceae,Caryophyllales,Angiosperms,"",,,Caryophyllales,Caryophyllaceae,Silene,Silene uniflora,MC9396,49.959,-5.206,2022-06-15
,,,,"",,,,,,,,49.959587,-5.207695,
Trifolium,Fabaceae,Fabales,Angiosperms,"",,,Fabales,Fabaceae,Trifolium,Trifolium occidentale,MC9384,49.9681,-5.2167,2022-06-15
Betonica,Lamiaceae,Lamiales,Angiosperms,Cornwall,50.448118,-5.158114,Lamiales,Lamiaceae,Betonica,Betonica officinalis,MC9385,49.9683,-5.2139,2022-06-15
Senecio,Asteraceae,Asterales,Angiosperms,Cornwall,50.448118,-5.158114,Asterales,Asteraceae,Senecio,Senecio sylvaticus,MC9386,49.9683,-5.2139,2022-06-15
Fumaria,Papaveraceae,Ranunculales,Angiosperms,Cornwall,50.448118,-5.158114,Ranunculales,Papaveraceae,Fumaria,Fumaria occidentalis,MC9393,49.9695,-5.205,2022-06-15
Ranunculus,Ranunculaceae,Ranunculales,Angiosperms,Cornwall,50.448118,-5.158114,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus sardous,MC9387,49.9699,-5.214,2022-06-15
Bellardia,Orobanchaceae,Lamiales,Angiosperms,Cornwall,50.448118,-5.158114,Lamiales,Orobanchaceae,Bellardia,Bellardia viscosa,MC9388,49.9699,-5.214,2022-06-15
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,Cornwall,50.448118,-5.158114,Lamiales,Orobanchaceae,Euphrasia,Euphrasia tetraquetra,MC9391,49.9721,-5.2182,2022-06-15
Anagallis,Primulaceae,Ericales,Angiosperms,Cornwall,50.448118,-5.158114,Ericales,Primulaceae,Anagallis,Anagallis tenella,MC9392,49.9721,-5.2182,2022-06-15
Cuscuta,Convolvulaceae,Solanales,Angiosperms,Cornwall,50.448118,-5.158114,Solanales,Convolvulaceae,Cuscuta,Cuscuta epithymum,MC9382,49.973,-5.2234,2022-06-15
Leontodon,Asteraceae,Asterales,Angiosperms,Cornwall,50.448118,-5.158114,Asterales,Asteraceae,Leontodon,Leontodon saxatilis,MC9383,49.973,-5.2234,2022-06-15
Herniaria,Caryophyllaceae,Caryophyllales,Angiosperms,Cornwall,50.448118,-5.158114,Caryophyllales,Caryophyllaceae,Herniaria,Herniaria ciliolata,MC9381,49.9733,-5.2248,2022-06-15
Spergularia,Caryophyllaceae,Caryophyllales,Angiosperms,Cornwall,50.448118,-5.158114,Caryophyllales,Caryophyllaceae,Spergularia,Spergularia bocconei,MC9365,49.9745,-5.2252,2022-06-14
Raphanus,Brassicaceae,Brassicales,Angiosperms,Cornwall,50.448118,-5.158114,Brassicales,Brassicaceae,Raphanus,Raphanus raphanistrum,MC9380,49.9753,-5.2252,2022-06-15
Filipendula,Rosaceae,Rosales,Angiosperms,Cornwall,50.448118,-5.158114,Rosales,Rosaceae,Filipendula,Filipendula vulgaris,MC9366,49.9755,-5.225,2022-06-14
Cytisus,Fabaceae,Fabales,Angiosperms,Cornwall,50.448118,-5.158114,Fabales,Fabaceae,Cytisus,Cytisus scoparius,MC9367,49.9761,-5.2256,2022-06-14
Genista,Fabaceae,Fabales,Angiosperms,Cornwall,50.448118,-5.158114,Fabales,Fabaceae,Genista,Genista tinctoria,MC9373,49.9762,-5.2329,2022-06-14
Orobanche,Orobanchaceae,Lamiales,Angiosperms,Cornwall,50.448118,-5.158114,Lamiales,Orobanchaceae,Orobanche,Orobanche alba,MC9374,49.9762,-5.2329,2022-06-14
Hypochaeris,Asteraceae,Asterales,Angiosperms,Cornwall,50.448118,-5.158114,Asterales,Asteraceae,Hypochaeris,Hypochaeris maculata,MC9375,49.9762,-5.2329,2022-06-14
Genista,Fabaceae,Fabales,Angiosperms,Cornwall,50.448118,-5.158114,Fabales,Fabaceae,Genista,Genista pilosa,MC9376,49.9762,-5.2329,2022-06-14
Erica,Ericaceae,Ericales,Angiosperms,Cornwall,50.448118,-5.158114,Ericales,Ericaceae,Erica,Erica vagans,MC9368,49.9764,-5.2262,2022-06-14
Pedicularis,Orobanchaceae,Lamiales,Angiosperms,Cornwall,50.448118,-5.158114,Lamiales,Orobanchaceae,Pedicularis,Pedicularis sylvatica,MC9369,49.9764,-5.2262,2022-06-14
Genista,Fabaceae,Fabales,Angiosperms,Cornwall,50.448118,-5.158114,Fabales,Fabaceae,Genista,Genista anglica,MC9371,49.9775,-5.2271,2022-06-14
Callitriche,Plantaginaceae,Lamiales,Angiosperms,Cornwall,50.448118,-5.158114,Lamiales,Plantaginaceae,Callitriche,Callitriche obtusangula,MC9398,50.0928,-5.2838,2022-06-15
,,,,Cornwall,50.448118,-5.158114,,,,,,50.201805,-5.41075,
Fumaria,Papaveraceae,Ranunculales,Angiosperms,Cornwall,50.448118,-5.158114,Ranunculales,Papaveraceae,Fumaria,Fumaria purpurea,MC9379,50.2177,-5.3114,2022-06-15
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,Cornwall,50.448118,-5.158114,Lamiales,Orobanchaceae,Euphrasia,Euphrasia tetraquetra x Euphrasia vigursii,D21-CAR,50.258778,-5.303972,2014-08-15
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,Devon,50.720015,-3.803525,Lamiales,Orobanchaceae,Euphrasia,Euphrasia anglica,BED-1,50.5135,-4.113306,2019-09-10
Artemisia,Asteraceae,Asterales,Angiosperms,"",,,Asterales,Asteraceae,Artemisia,Artemisia maritima,MC9301,50.7704,-0.1478,2021-09-07
HALIMIONE,,,,"",,,Caryophyllales,Chenopodiaceae,Halimione,HALIMIONE PORTULACOIDES,MC9302,50.7704,-0.1478,2021-09-07
Trifolium,Fabaceae,Fabales,Angiosperms,"",,,Fabales,Fabaceae,Trifolium,Trifolium fragiferum,MC9304,50.7704,-0.1478,2021-09-07
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,Hampshire,50.997248,-1.328988,Lamiales,Orobanchaceae,Euphrasia,Euphrasia confusa,WHP-1,50.811333,-1.715972,2019-09-10
Beta,Amaranthaceae,Caryophyllales,Angiosperms,"",,,Caryophyllales,Chenopodiaceae,Beta,Beta vulgaris,SM46,50.8241,-0.3011,2021-09-07
Tamarix,Tamaricaceae,Caryophyllales,Angiosperms,"",,,Caryophyllales,Tamaricaceae,Tamarix,Tamarix gallica,MC9299,50.8241,-0.3011,2021-09-07
Salicornia,Amaranthaceae,Caryophyllales,Angiosperms,"",,,Caryophyllales,Chenopodiaceae,Salicornia,Salicornia ramosissima,MC9300,50.8241,-0.3011,2021-09-07
Frankenia,Frankeniaceae,Caryophyllales,Angiosperms,"",,,Caryophyllales,Frankeniaceae,Frankenia,Frankenia laevis,MC9297,50.825,-0.2959,2021-09-07
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,East Cornwall,,,Lamiales,Orobanchaceae,Euphrasia,Euphrasia tetraquetra,AT2201,50.84853,-4.55515,2021-07-01
